ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std
POOL-00026059,"InChI=1S/C11H15NO2S/c1-14-11(13)7-10(12)8-3-5-9(15-2)6-4-8/h3-6,10H,7,12H2,1-2H3",COC(=O)CC(N)c1ccc(SC)cc1,323.86473577962784,False,['827034-72-0'],0.1450088072
POOL-00038874,"InChI=1S/C10H20N2O2/c1-13-9(11)7-5-3-4-6-8-10(12)14-2/h11-12H,3-8H2,1-2H3",COC(=N)CCCCCCC(=N)OC,160.96081175542733,False,['29878-26-0'],0.1352394615
POOL-00038253,"InChI=1S/C12H13NO5/c1-7(14)13-10-6-8(11(15)17-2)4-5-9(10)12(16)18-3/h4-6H,1-3H3,(H,13,14)",COC(=O)c1ccc(C(=O)OC)c(N=C(C)O)c1,503.1892758897808,False,['5441-05-4'],0.1359818704
POOL-00027816,"InChI=1S/C10H20N2O2/c13-8-4-7-11-10(14)12-9-5-2-1-3-6-9/h9,13H,1-8H2,(H2,11,12,14)",OCCCN=C(O)NC1CCCCC1,176.96081175542736,False,['690680-08-1'],0.1404787572
POOL-00037505,"InChI=1S/C14H23NO3/c1-11(2)15-9-13(17)10-18-14-5-3-12(4-6-14)7-8-16/h3-6,11,13,15-17H,7-10H2,1-2H3",CC(C)NCC(O)COc1ccc(CCO)cc1,324.3159182655021,False,['62572-94-5'],0.1341360381
POOL-00036881,"InChI=1S/C13H21NO3/c1-13(2,3)14-7-12(17)9-4-5-11(16)10(6-9)8-15/h4-6,12,14-17H,7-8H2,1-3H3",CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,371.41759115181975,False,"['18559-94-9', '1219798-60-3', '35763-26-9', '148563-15-9']",0.1478487809
POOL-00027239,"InChI=1S/C11H16N2O2S/c1-14-10(15-2)8-12-11(16)13-9-6-4-3-5-7-9/h3-7,10H,8H2,1-2H3,(H2,12,13,16)",COC(CN=C(S)Nc1ccccc1)OC,326.0162643476635,False,['53995-09-8'],0.1316404687
POOL-00041738,"InChI=1S/C13H21NO3/c1-4-10(14-8(2)3)13(17)9-5-6-11(15)12(16)7-9/h5-8,10,13-17H,4H2,1-3H3",CCC(NC(C)C)C(O)c1ccc(O)c(O)c1,365.6822493903288,False,['530-08-5'],0.1489216497
POOL-00034248,"InChI=1S/C10H12BrNO2/c1-2-14-10(13)7-12-9-5-3-8(11)4-6-9/h3-6,12H,2,7H2,1H3",CCOC(=O)CNc1ccc(Br)cc1,297.49523741954465,False,['2521-92-8'],0.1329781948
POOL-00009805,"InChI=1S/C15H21NO4/c1-5-12-8-6-7-10(2)13(12)16(11(3)9-20-4)14(17)15(18)19/h6-8,11H,5,9H2,1-4H3,(H,18,19)",CCc1cccc(C)c1N(C(=O)C(=O)O)C(C)COC,498.6469225140251,False,['152019-73-3'],0.1340989409
