,Vial Site,Reagent1 (ul),Reagent2 (ul),Reagent3 (ul),Reagent4 (ul),Reagent5 (ul),Reagent6 (ul),Reagent7 (ul),Reagent8 (ul),Reagent9 (ul),Reagent10 (ul),Labware ID:,Reaction Parameters,Parameter Values,Reagents,Reagent Name,Reagent Identity,Reagent Concentration (uM),Liquid Class
86,F11,369.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,50,Symyx_96_well_0003,,,,,,,
87,H11,387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,50,Symyx_96_well_0003,,,,,,,
88,A12,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
89,C12,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
90,E12,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
91,G12,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50,Symyx_96_well_0003,,,,,,,
92,B12,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Symyx_96_well_0003,,,,,,,
93,D12,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Symyx_96_well_0003,,,,,,,
94,F12,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Symyx_96_well_0003,,,,,,,
95,H12,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Symyx_96_well_0003,,,,,,,
