ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu,cluster,sigma-price,sigma-avail,sigma-url
POOL-00032439,"InChI=1S/C12H8N2O2S/c15-11(9-5-3-7-16-9)14-12-13-8-4-1-2-6-10(8)17-12/h1-7H,(H,13,14,15)",O=C(Nc1nc2ccccc2s1)c1ccco1,625.0187628106884,False,['87874-18-8'],0.1992039172,2,$28.60/25MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/l319155
POOL-00010292,"InChI=1S/C14H11NO/c15-12-6-7-13-11(8-12)9-14(16-13)10-4-2-1-3-5-10/h1-9H,15H2",Nc1ccc2oc(-c3ccccc3)cc2c1,625.535314052272,False,['77084-15-2'],0.2392101594,2,,,
POOL-00036903,"InChI=1S/C11H14N2OS/c1-3-14-8-5-6-9-10(7-8)13-11(12-9)15-4-2/h5-7H,3-4H2,1-2H3,(H,12,13)",CCOc1ccc2nc(SCC)[nH]c2c1,448.784689359279,False,"['135048-68-9', '120764-43-4']",0.2138208625,2,,,
POOL-00029843,"InChI=1S/C12H14N2/c1-8-4-5-11-12(6-8)14-10(3)7-9(2)13-11/h4-7,14H,1-3H3",CC1=CC(C)=Nc2ccc(C)cc2N1,427.9479116691518,False,['117566-70-8'],0.191237454,2,,,
POOL-00031362,"InChI=1S/C16H15N/c1-11-7-8-14(12(2)9-11)16-10-13-5-3-4-6-15(13)17-16/h3-10,17H,1-2H3",Cc1ccc(-c2cc3ccccc3[nH]2)c(C)c1,643.8079686647184,False,['62663-29-0'],0.213614578,2,$106.00/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/r396397
POOL-00031392,"InChI=1S/C13H18N2S/c1-13(2,3)8-4-5-9-10(7-14)12(15)16-11(9)6-8/h8H,4-6,15H2,1-3H3",CC(C)(C)C1CCc2c(sc(N)c2C#N)C1,445.723255272932,False,['42159-76-2'],0.1765214165,2,$28.60/50MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/r433314
POOL-00018585,"InChI=1S/C14H11NO2/c1-9-6-7-13-11(8-9)15-14(17-13)10-4-2-3-5-12(10)16/h2-8,16H,1H3",Cc1ccc2oc(-c3ccccc3O)nc2c1,685.504999755912,False,['35875-76-4'],0.1933319645,2,$134.00/10MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/l496901
POOL-00014047,"InChI=1S/C12H16N2/c1-7-4-10(6-13)12-11(5-7)8(2)9(3)14-12/h4-5,14H,6,13H2,1-3H3",Cc1cc(CN)c2[nH]c(C)c(C)c2c1,480.517653178852,False,['883548-14-9'],0.1849478698,2,$218.40/500 mg,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/matrixscientific/mat089757033?context=bbe
POOL-00026147,"InChI=1S/C13H15NO2/c1-7-4-8(2)13-11(5-7)10(6-12(15)16)9(3)14-13/h4-5,14H,6H2,1-3H3,(H,15,16)",Cc1cc(C)c2[nH]c(C)c(CC(=O)O)c2c1,566.8065486722935,False,['91957-25-4'],0.1904478592,2,,,
POOL-00010953,"InChI=1S/C15H22N2/c1-12(13-5-3-2-4-6-13)16-15-11-17-9-7-14(15)8-10-17/h2-6,12,14-16H,7-11H2,1H3",CC(NC1CN2CCC1CC2)c1ccccc1,354.4443860643435,False,"['142999-60-8', '1019647-21-2', '1788165-72-9']",0.1992203988,2,,,
POOL-00010485,"InChI=1S/C15H11BrN2/c16-12-6-7-14-11(8-12)9-13(15(17)18-14)10-4-2-1-3-5-10/h1-9H,(H2,17,18)",N=c1[nH]c2ccc(Br)cc2cc1-c1ccccc1,760.2956546799152,False,['948293-20-7'],0.2409104525,2,,,
POOL-00017256,"InChI=1S/C10H12N2S/c1-2-13-7-10-11-8-5-3-4-6-9(8)12-10/h3-6H,2,7H2,1H3,(H,11,12)",CCSCc1nc2ccccc2[nH]1,361.4790052861605,False,['99069-37-1'],0.2515229159,2,$68.10/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/s927597
POOL-00026762,"InChI=1S/C12H17NO2S/c1-3-15-12(14)10-9-7(2)5-4-6-8(9)16-11(10)13/h7H,3-6,13H2,1-2H3",CCOC(=O)c1c(N)sc2c1C(C)CCC2,411.3964138000915,False,['95211-67-9'],0.2372061407,2,,,
