,DIMRED_FEAT_nn=50;md=0[dot]3_x,DIMRED_FEAT_nn=50;md=0[dot]3_y,DIMRED_FEAT_nn=50;md=0[dot]7_x,DIMRED_FEAT_nn=50;md=0[dot]7_y,DIMRED_CHEM_nn=50;md=0[dot]3_x,DIMRED_CHEM_nn=50;md=0[dot]3_y,DIMRED_CHEM_nn=50;md=0[dot]7_x,DIMRED_CHEM_nn=50;md=0[dot]7_y,ligand_label
13964,9.925842,6.5127125,10.664342,5.6168637,2.740185,7.4122496,7.1582956,3.8251138,POOL-00012555
13965,16.368402,10.636181,16.629423,7.847449,7.1357584,8.623608,5.88394,2.661555,POOL-00008002
13966,-0.900552,8.689333,-0.57126814,8.297276,3.9860632,3.169201,8.330127,4.5406985,POOL-00042359
13967,10.964134,6.5547986,11.483621,5.9755855,4.1929116,2.9031422,8.582212,4.6632423,POOL-00014983
13968,1.7836154,11.454162,1.5603373,12.441268,3.220248,4.179274,7.849741,4.3168283,POOL-00024385
13969,11.256839,8.026759,12.215791,8.200036,4.103182,3.429316,7.598609,3.7621052,POOL-00006421
13970,0.16418281,8.375456,0.75370693,7.978073,2.1807091,4.115376,7.0830755,6.0162053,POOL-00026764
13971,0.96990526,6.416997,2.2007718,5.2935677,6.7187543,8.009352,6.128306,1.8202672,POOL-00005066
13972,-2.383483,2.9709446,-2.9378638,3.2639022,6.3154745,9.277337,6.8151555,3.076706,POOL-00023680
13973,15.194626,11.959425,15.577568,10.497119,6.6245003,8.005277,5.7510886,1.9027058,POOL-00024629
13974,-0.02687998,9.372144,0.3223877,9.337153,3.7955663,3.639798,7.122935,4.1329484,POOL-00042083
13975,-2.3220763,11.14783,-2.5763135,10.963007,4.200701,3.0192492,8.4355755,4.311164,POOL-00024768
13976,7.516261,10.087269,6.5930634,10.68817,6.4236016,5.4259696,5.6716375,2.1343083,POOL-00039272
13977,-1.9784652,10.606981,-2.3214676,10.791281,3.2110336,4.0615463,7.885545,4.5053825,POOL-00016421
13978,-0.7267477,7.183968,-0.19913207,6.130725,4.236805,3.276941,7.8324456,4.108942,POOL-00032696
13979,8.189049,9.275223,7.629555,9.668281,6.414329,5.3911586,6.3580885,2.1177027,POOL-00010530
13980,7.728951,8.528539,7.1052947,8.692841,6.1916013,4.471288,7.4776826,2.8455982,POOL-00032995
13981,10.063784,4.4748755,8.84098,3.406023,4.325809,3.9716594,3.4907482,3.312552,POOL-00008810
13982,15.933909,11.161679,16.278555,8.863002,3.9983418,3.618279,7.3853407,4.1039047,POOL-00021007
13983,11.758281,11.687059,12.65815,13.509369,6.572195,4.853314,6.0085588,1.5638486,POOL-00036104
13984,9.706364,5.908631,10.046979,4.850948,4.076194,2.9765828,8.343393,4.5158005,POOL-00019428
13985,1.0586842,5.6786804,2.3256023,4.295791,6.305633,4.5944824,7.137401,2.7781658,POOL-00004286
13986,-3.309732,3.3488932,-4.1784887,4.4981585,6.080957,8.185049,5.544756,2.5854638,POOL-00008957
13987,-1.3531969,12.394263,-1.509128,13.599715,6.083422,8.974564,5.697324,2.8799844,POOL-00025805
13988,3.3652148,11.189194,3.9432445,12.453148,5.538956,4.0516,7.0009694,3.300327,POOL-00031134
13989,9.981441,11.655768,10.313531,13.210057,6.419005,4.9546323,6.347009,2.436106,POOL-00012208
13990,0.06535834,3.3414972,0.9049326,2.3388696,6.495445,8.220231,6.260417,2.3413122,POOL-00025482
13991,8.567816,5.536229,7.919862,4.7982306,2.7201,7.1033306,4.511016,4.3022747,POOL-00037941
13992,-1.8344867,10.83974,-2.1174028,10.996792,4.0162654,3.425151,7.583664,4.0710726,POOL-00001629
13993,2.1548405,6.018397,3.9144158,4.918995,4.1036744,3.020018,8.385548,4.3799853,POOL-00038762
13994,7.8625016,4.895001,6.56763,4.079642,6.423391,4.6907234,6.8668404,3.703839,POOL-00017690
13995,-2.8614547,9.359212,-3.1133518,9.170441,4.060869,3.5294557,7.337872,4.220456,POOL-00007560
13996,10.309824,11.902095,10.399375,13.664523,5.761006,8.187997,5.2950845,2.4018707,POOL-00031300
13997,-0.7204333,3.7407093,-0.17398836,3.3702755,6.7565246,8.474695,6.4957747,2.716218,POOL-00025477
13998,-3.344571,1.7567431,-4.928883,1.8910841,6.6330085,8.654963,6.377287,2.6973703,POOL-00030200
13999,14.9335,10.889519,14.535353,8.962837,4.9614067,9.315532,4.6347485,3.47455,POOL-00032486
14000,-0.21647613,7.3997645,0.6165922,6.518752,4.344666,3.0742948,8.313897,4.3970227,POOL-00021280
14001,12.278746,9.304783,10.269327,10.814737,4.4605093,9.690255,4.336198,4.5882974,POOL-00006850
14002,12.309961,8.469982,9.691204,9.4289875,6.8423843,8.293852,5.114122,2.3482733,POOL-00041648
14003,7.449705,8.132123,6.8425384,8.503966,3.2868361,4.1791973,7.8296075,3.9419484,POOL-00029072
14004,8.989156,10.930063,8.680294,12.179303,4.5439906,3.7157145,7.4748435,3.4634132,POOL-00031837
14005,0.41020763,2.0544739,0.5762127,0.496053,4.9417515,9.541801,4.2521033,4.0456033,POOL-00039350
14006,-2.457903,11.28998,-2.7498326,10.993743,4.1609635,3.558694,7.306184,3.76548,POOL-00005937
14007,-0.9472044,3.4689212,-0.703651,3.087136,3.8777947,7.34819,6.0490856,0.5735299,POOL-00033550
14008,13.018137,8.94879,9.192949,10.551822,3.678955,7.184338,5.651373,-0.12509939,POOL-00006329
14009,7.926031,7.08082,7.224695,6.7479067,4.2771893,3.2429967,7.9449778,4.3344235,POOL-00011985
14010,11.216913,7.423397,10.449662,7.3947363,4.00955,3.3767555,7.6249523,4.052401,POOL-00016207
14011,2.3385227,10.5988035,2.742113,11.356415,6.34052,4.1874385,7.2279644,3.0155113,POOL-00031108
14012,1.5798469,2.2138634,2.5394876,0.010680361,6.0329046,9.040496,5.854563,3.1374362,POOL-00037201
14013,8.943783,10.010936,8.921226,11.293911,6.120336,9.273327,5.75013,2.9351454,POOL-00033486
14014,-2.360498,11.311071,-2.9167984,11.639875,3.9151483,3.3719294,7.8974667,4.4378753,POOL-00006457
14015,-3.7858047,3.5694265,-4.70679,5.627549,5.5482593,9.515094,5.5156636,3.947739,POOL-00039541
14016,3.9491436,11.438817,4.5239983,13.006781,4.037721,2.8781447,8.506626,4.624708,POOL-00032779
14017,8.567286,7.9093328,8.353469,7.8115907,5.1052384,5.0227447,5.896741,4.1118855,POOL-00010468
14018,-4.42703,8.599891,-5.013592,7.8679748,5.6662564,3.8895273,1.7915838,3.014192,POOL-00025897
14019,10.822388,10.113936,12.157654,11.2320795,6.4260106,4.5459185,7.2128363,3.0022802,POOL-00004251
14020,2.5650153,11.002761,2.8147187,11.88958,4.244884,2.9999006,8.626765,4.3016267,POOL-00039622
14021,0.6762647,6.8521647,1.6693617,5.920446,3.9687905,3.1527867,8.228755,4.365305,POOL-00028745
14022,16.2552,10.437243,16.203207,7.431794,4.720673,3.75613,7.2996845,3.9666338,POOL-00028984
14023,0.96186143,3.0641947,2.1792288,1.5907179,5.867808,8.321574,5.8033404,2.7116084,POOL-00037437
14024,1.3324157,9.634622,1.6355033,9.804763,3.6678672,5.753206,7.6911693,4.208526,POOL-00007879
14025,11.990565,7.796172,11.461032,8.30858,6.946048,7.17272,5.711507,0.59171164,POOL-00029309
14026,1.1393986,8.740395,1.6401689,8.424679,4.1282864,2.8789232,8.554895,4.7668643,POOL-00034144
14027,10.02613,11.1269655,10.650321,12.554303,6.1534777,4.435475,7.4063883,2.86015,POOL-00030372
14028,11.56239,10.7978735,12.894354,12.234473,5.623804,3.960343,7.152822,2.96468,POOL-00042012
14029,1.8636981,11.640169,1.396789,12.79555,3.3437083,3.864694,8.018538,4.7297273,POOL-00043175
14030,0.9633435,5.7235928,2.1881542,4.2516365,6.4201226,7.630294,5.0097857,1.2857181,POOL-00008092
14031,9.864812,7.2834225,10.561991,6.7410703,6.3085737,4.5680213,7.3568068,2.73893,POOL-00003844
14032,3.01349,11.555534,3.1379352,13.1953535,6.6212654,8.049254,5.9579897,2.3167667,POOL-00035572
14033,2.2632358,11.920349,1.9725952,13.255382,5.1920238,6.5229187,7.383656,3.4677248,POOL-00039289
14034,10.704408,12.66589,10.720264,14.92171,5.1709065,9.165004,4.612337,3.7427435,POOL-00009583
14035,0.056057423,7.8895802,1.0066824,7.49073,4.3444934,3.015297,8.532419,4.305483,POOL-00005888
14036,10.007038,8.408592,10.915405,8.242987,2.779016,7.4212008,7.048241,2.894664,POOL-00007696
14037,9.236817,8.527963,9.4329405,8.819402,4.2923093,3.5715716,7.635488,3.965412,POOL-00008756
14038,1.4954426,2.4437518,2.415316,0.51929444,6.3817496,8.078405,6.15704,2.3089585,POOL-00042580
14039,8.627089,8.472621,8.495465,8.755142,3.720219,3.6816185,7.524624,4.4060726,POOL-00029543
14040,1.1843559,6.009226,2.6846557,4.889359,6.3992743,7.215706,5.3996434,0.8583699,POOL-00004889
14041,8.368199,6.965562,7.8756595,6.7421927,6.415541,4.730822,6.1191688,2.0595477,POOL-00005674
14042,11.926185,8.977272,10.33072,10.046191,5.703072,8.713454,5.1092606,2.7355912,POOL-00041587
14043,-1.519916,2.8297856,-1.5902984,2.6797621,4.8471828,5.7537613,1.9753512,4.7361526,POOL-00011000
14044,0.45538276,7.708658,1.2237269,6.9067426,3.2862298,4.005238,8.052323,4.295251,POOL-00032165
14045,-1.5456233,10.123156,-1.6819584,10.104062,3.9329836,3.5886784,7.9059935,4.0794606,POOL-00027046
14046,12.945036,9.129926,9.799421,10.948811,4.99866,4.7714443,3.6140485,3.3473704,POOL-00005194
14047,8.487923,6.5080237,7.879379,5.9418826,3.9579225,3.0482485,8.27384,4.766947,POOL-00038092
14048,11.368078,12.324322,12.060881,14.661983,6.343672,7.9288425,5.4297776,1.9616383,POOL-00042654
14049,11.150339,8.829271,11.6850605,9.120453,5.323302,4.3498774,4.7239847,4.572597,POOL-00006961
14050,9.95988,11.655039,10.232489,13.104327,5.849222,4.8162603,7.2712793,3.0623012,POOL-00032043
14051,15.574032,10.412776,15.243094,7.7799425,5.0659776,9.6769285,4.334992,4.0585594,POOL-00038662
14052,8.383381,6.063551,8.051931,5.3729157,3.8669195,3.4111626,7.688218,4.147424,POOL-00020208
14053,9.294808,11.675846,8.902365,12.967397,5.193563,8.363431,4.35658,2.2189894,POOL-00014942
14054,9.166871,12.237505,8.862035,13.81504,6.1881433,9.234082,6.5055656,3.290841,POOL-00012560
14055,9.785061,4.202308,9.887812,2.4262798,4.128887,3.6101592,7.200772,3.9758554,POOL-00037862
14056,9.601281,7.035028,9.632518,6.5233636,4.7920294,4.393236,3.513703,4.137624,POOL-00025415
14057,-1.275897,2.7806814,-1.5529176,2.4212642,6.253137,9.016733,6.567952,3.3985636,POOL-00042095
14058,12.69726,7.4507375,10.096314,8.33292,3.6310332,7.27002,5.994925,0.1316199,POOL-00010638
14059,12.130159,8.555901,10.642684,9.628522,4.139341,3.657403,7.3697,3.8862045,POOL-00033180
14060,9.429199,9.919445,9.669783,10.843978,3.0511987,7.643805,6.9486165,1.4833121,POOL-00023161
14061,1.5381733,11.40579,1.2145351,12.2211895,4.4187217,8.791139,4.0610027,4.10557,POOL-00042013
14062,7.6991096,10.956539,7.155855,11.764389,8.930933,5.606991,0.43004876,1.5099114,POOL-00035419
14063,-1.8428243,1.5977663,-2.6670814,1.0477442,5.3849893,9.072788,4.815422,3.6606927,POOL-00017756
14064,10.795862,6.1475377,11.097626,5.4256344,4.4692984,9.565221,4.440969,4.593815,POOL-00024478
14065,16.104828,10.888572,16.458504,8.312188,6.239247,9.008254,5.654787,3.1873806,POOL-00017892
14066,3.2993007,10.198517,4.227863,11.106209,4.4363465,3.926674,4.593941,1.7346066,POOL-00037342
14067,7.246878,8.944457,6.6116996,9.599273,6.692392,7.324446,5.030561,0.83773065,POOL-00043500
14068,-2.3843706,1.5661618,-3.4831412,1.4019408,5.2257557,8.520827,4.8441615,3.4405613,POOL-00038820
14069,0.7731761,6.271894,2.4980977,5.4166446,4.1663823,3.2868032,7.9791517,4.2026796,POOL-00031395
14070,0.24051978,6.958436,0.85718405,5.8475065,4.18693,2.8683429,8.585151,4.66475,POOL-00022578
14071,-2.295078,8.543267,-2.4971747,7.8983183,4.1264586,2.9426453,8.356957,4.396288,POOL-00028974
14072,7.6056952,3.056716,4.9197145,1.1300895,3.9182749,3.3144724,7.759137,4.56027,POOL-00020052
14073,14.64111,12.201672,14.947565,11.319322,5.9336567,9.184141,5.867529,3.480939,POOL-00022630
14074,12.958768,7.1559014,9.68731,8.0017395,5.2747107,5.227518,4.7326407,3.0465174,POOL-00010175
14075,11.106806,11.943771,11.5419855,14.004403,7.039515,8.142467,5.8621073,2.163042,POOL-00011907
14076,-1.6227703,9.948362,-1.7420301,9.766345,4.852052,9.2784195,3.781549,3.534127,POOL-00029993
14077,0.95258445,10.139317,1.1812652,10.307521,4.1387744,3.0185144,8.46907,4.4955664,POOL-00033540
14078,11.405227,6.941402,11.420115,6.838971,4.0455174,3.0218248,8.395809,4.559588,POOL-00030723
14079,-0.57432956,11.993185,-0.5751783,12.806729,6.3966846,5.356567,6.938667,3.1807113,POOL-00036708
14080,8.01555,11.201257,7.5266685,12.626899,3.4846532,7.1836762,5.6057034,-0.30235973,POOL-00038567
14081,-0.8466896,6.3628497,-0.5010236,5.2059493,4.3392696,3.4245095,7.6817017,3.7017727,POOL-00004337
14082,1.7259892,5.4710054,3.4432425,4.2379174,3.8745866,2.9756105,8.323214,4.661383,POOL-00038723
14083,15.408948,11.041324,15.355938,8.862616,6.475033,5.5236993,6.9785213,2.4852118,POOL-00025260
