ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu,cluster,sigma-price,sigma-avail,sigma-url,fisher-price,fisher-avail,fisher-url
POOL-00037584,"InChI=1S/C17H20N2O3/c20-11-9-19(10-12-21)16-8-4-7-15(13-16)18-17(22)14-5-2-1-3-6-14/h1-8,13,20-21H,9-12H2,(H,18,22)",OCCN(CCO)c1cccc(N=C(O)c2ccccc2)c1,608.3109321727849,False,['43051-46-3'],0.9555779802,7,,,,,,
POOL-00037518,"InChI=1S/C16H23NO3/c1-10(18)12-7-5-6-11-8-14(20-15(11)12)13(19)9-17-16(2,3)4/h5-8,10,13,17-19H,9H2,1-4H3",CC(O)c1cccc2cc(C(O)CNC(C)(C)C)oc12,580.9097769007369,False,['57704-16-2'],0.9635681159,7,,,,,,
POOL-00034672,"InChI=1S/C18H18O6/c1-21-15-5-3-13(11-19)9-17(15)23-7-8-24-18-10-14(12-20)4-6-16(18)22-2/h3-6,9-12H,7-8H2,1-2H3",COc1ccc(C=O)cc1OCCOc1cc(C=O)ccc1OC,649.1503278385773,False,['199190-12-0'],0.9902517571,7,,,,,,
POOL-00027831,"InChI=1S/C15H13NO5/c1-20-15-8-12(9-17)4-7-14(15)21-10-11-2-5-13(6-3-11)16(18)19/h2-9H,10H2,1H3",COc1cc(C=O)ccc1OCc1ccc([N+](=O)[O-])cc1,651.6135948580428,False,['81307-09-7'],0.9845325415,7,$28.60/nan,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/r277584,,,
POOL-00036923,"InChI=1S/C13H21NO6S/c1-4-14(8-11(15)9-21(16,17)18)10-5-12(19-2)7-13(6-10)20-3/h5-7,11,15H,4,8-9H2,1-3H3,(H,16,17,18)",CCN(CC(O)CS(=O)(=O)O)c1cc(OC)cc(OC)c1,537.529954479904,False,['94122-98-2'],0.9539432771,7,,,,,,
POOL-00027516,"InChI=1S/C13H13BrO6S/c1-4-18-13(15)12-7(2)19-10-6-9(14)11(5-8(10)12)20-21(3,16)17/h5-6H,4H2,1-3H3",CCOC(=O)c1c(C)oc2cc(Br)c(OS(C)(=O)=O)cc12,805.6660838950345,False,['308295-32-1'],0.9905561826,7,$28.60/10MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/l141283,,,
POOL-00027517,"InChI=1S/C14H15BrO6S/c1-7(2)19-14(16)13-8(3)20-11-6-10(15)12(5-9(11)13)21-22(4,17)18/h5-7H,1-4H3",Cc1oc2cc(Br)c(OS(C)(=O)=O)cc2c1C(=O)OC(C)C,834.6253769880063,False,"['6239-54-9', '308295-33-2']",0.9895152022,7,,,,,,
POOL-00020359,"InChI=1S/C17H28O4/c1-4-6-7-13(5-2)12-21-17-9-14(10-18)16(20-3)8-15(17)11-19/h8-9,13,18-19H,4-7,10-12H2,1-3H3",CCCCC(CC)COc1cc(CO)c(OC)cc1CO,417.4962893674568,False,['245731-58-2'],0.9855164594,7,,,,,,
POOL-00029764,"InChI=1S/C16H17BrO6/c1-4-20-14(18)8-22-13-6-10-12(7-11(13)17)23-9(3)15(10)16(19)21-5-2/h6-7H,4-5,8H2,1-3H3",CCOC(=O)COc1cc2c(C(=O)OCC)c(C)oc2cc1Br,733.735954667428,False,['315237-09-3'],0.9866973397,7,$28.60/10MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/l141534,,,
POOL-00022950,"InChI=1S/C21H27NO2/c1-4-5-11-18-12-9-10-15-20(18)24-16-21(23)22(17(2)3)19-13-7-6-8-14-19/h6-10,12-15,17H,4-5,11,16H2,1-3H3",CCCCc1ccccc1OCC(=O)N(c1ccccc1)C(C)C,637.2968211988789,False,['866153-33-5'],0.9770957197,7,,,,,,
POOL-00013279,"InChI=1S/C16H13NO7/c1-11(18)23-15-5-3-2-4-14(15)16(19)24-13-8-6-12(7-9-13)10-22-17(20)21/h2-9H,10H2,1H3",CC(=O)Oc1ccccc1C(=O)Oc1ccc(CO[N+](=O)[O-])cc1,755.276172463469,False,['287118-97-2'],0.9919492576,7,,,,,,
POOL-00011727,"InChI=1S/C20H27NO2/c1-3-22-20(23-4-2)17-21(15-18-11-7-5-8-12-18)16-19-13-9-6-10-14-19/h5-14,20H,3-4,15-17H2,1-2H3",CCOC(CN(Cc1ccccc1)Cc1ccccc1)OCC,482.3526415529808,False,['67280-28-8'],0.98791832,7,$134.00/1 MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/ph002844,,,
POOL-00018635,"InChI=1S/C17H19O2P/c1-13-10-14(2)12-16(11-13)20(9-8-17(18)19)15-6-4-3-5-7-15/h3-7,10-12H,8-9H2,1-2H3,(H,18,19)",Cc1cc(C)cc(P(CCC(=O)O)c2ccccc2)c1,572.943928696335,False,['93872-48-1'],0.9709000314,7,,,,,,
POOL-00030829,"InChI=1S/C18H14O6/c1-11(19)23-15-7-3-13(4-8-15)17(21)18(22)14-5-9-16(10-6-14)24-12(2)20/h3-10H,1-2H3",CC(=O)Oc1ccc(C(=O)C(=O)c2ccc(OC(C)=O)cc2)cc1,717.7636277947452,False,['93655-79-9'],0.9898515114,7,,,,,,
POOL-00035161,"InChI=1S/C15H26N2O2S/c1-9(2)12-7-13(10(3)4)15(20(18,19)17-16)14(8-12)11(5)6/h7-11,17H,16H2,1-6H3",CC(C)c1cc(C(C)C)c(S(=O)(=O)NN)c(C(C)C)c1,546.53146421748,False,['39085-59-1'],0.9511849301,7,"$140.00
$42.00/1 G","Available to ship on April 12, 2023
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/192198,"$47.80
Each/0.5 g",Check Availability,https://www.fishersci.com/shop/products/2-4-6-triisopropylbenzenesulfonyl-hydrazide-thermo-scientific/AA1797602#39085-59-1
POOL-00024772,"InChI=1S/C17H25BrN2O2/c1-3-5-7-15(21)19-17(20-16(22)8-6-4-2)13-9-11-14(18)12-10-13/h9-12,17H,3-8H2,1-2H3,(H,19,21)(H,20,22)",CCCCC(O)=NC(N=C(O)CCCC)c1ccc(Br)cc1,473.8853311578381,False,['314749-30-9'],0.9847941766,7,$28.60/25MG,We apologize but fulfillment and delivery of this product is delayed. We are working to minimize these delays as quickly as possible.,https://www.sigmaaldrich.com/US/en/product/aldrich/r741604,,,
POOL-00033023,"InChI=1S/C18H20O6/c1-20-13-7-6-11(8-14(13)21-2)17(19)12-9-15(22-3)18(24-5)16(10-12)23-4/h6-10H,1-5H3",COc1ccc(C(=O)c2cc(OC)c(OC)c(OC)c2)cc1OC,713.2791113997523,False,['22699-97-4'],0.9909850437,7,,,,,,
