PS0520_SL08_wellLabel,PS0520_SL08_wallTag,PS0520_SL08_PL_pos,PS0520_SL08_PL_pos_s,PS0520_SL08_PL_FWHM,PS0520_SL08_PL_FWHM_s,PS0520_SL08_PL_height,PS0520_SL08_PL_height_s,PS0520_SL08_PL_area,PS0520_SL08_PL_area_s,PS0520_SL08_PL_sum,PS0520_SL08_PL_OD390,'PS0520_SL08_PL_sum/OD390',PS0520_SL08_PL_ref_sum,PS0520_SL08_PL_ref_OD390,'PS0520_SL08_PL_ref_sum/OD390',PS0520_SL08_PL_FOM,PS0520_SL08_PL_sum_a,PS0520_SL08_PL_sum_b,PS0520_SL08_PL_OD390_a,PS0520_SL08_PL_OD390_b,'PS0520_SL08_PL_sum/OD390_a','PS0520_SL08_PL_sum/OD390_b',PS0520_SL08_PL_FOM_a,PS0520_SL08_PL_FOM_b,PS0520_SL08_conc
G2,1,509.454,0.145867,20.898,0.56172,32609.1,2391.93,1.07044e+06,60676.4,362633,1.06908,339200,,,,1.13951,362633,,1.06908,,339200,,1.13951,,9.6
G3,1,509.197,0.148655,21.1169,0.574517,35811.3,2660.83,1.18787e+06,68239.5,402181,0.929859,432518,,,,1.453,402181,,0.929859,,432518,,1.453,,54.4
G4,1,509.032,0.149751,21.2216,0.579744,27158.9,2026.99,905336,52254.5,305723,0.68328,447435,,,,1.50311,305723,,0.68328,,447435,,1.50311,,216
G5,1,508.496,0.145097,21.5197,0.56445,21573.1,1547.5,729237,40481.7,246247,0.602266,408867,,,,1.37354,246247,,0.602266,,408867,,1.37354,,312
G6,3,509.446,0.145252,21.2464,0.562586,27334,1977.55,912240,51042.9,308582,1.08136,285364,,,,0.95865,308582,,1.08136,,285364,,0.95865,,0
G7,1,509.321,0.142811,21.2094,0.552786,30399.1,2164.49,1.01277e+06,55765.6,343404,1.08748,315781,,,,1.06083,,343404,,1.08748,,315781,,1.06083,4
G8,1,509.106,0.144501,21.5497,0.562483,35794.6,2555.43,1.21165e+06,66947.3,410320,1.07989,379966,,,,1.27645,,410320,,1.07989,,379966,,1.27645,19.2
G9,1,509.144,0.143782,21.5363,0.559563,36691.9,2607.4,1.24125e+06,68263.9,419996,1.11011,378337,,,,1.27098,,419996,,1.11011,,378337,,1.27098,16.2
G10,1,509.147,0.138809,21.363,0.538654,34133.7,2352.49,1.14542e+06,61070,388901,1.09243,355997,,,,1.19593,,388901,,1.09243,,355997,,1.19593,108
G11,1,508.809,0.142726,21.6194,0.556187,36307.6,2555.39,1.23299e+06,67173.3,418970,1.05823,395916,,,,1.33004,,418970,,1.05823,,395916,,1.33004,624
G12,3,509.328,0.142712,21.2429,0.55271,29332.9,2085.23,978787,53812.8,331825,1.10732,299665,,,,1.00669,,331825,,1.10732,,299665,,1.00669,0
H1,1,509.273,0.1459,20.9483,0.562302,31865.6,2334.6,1.04855e+06,59371.6,355404,1.05439,337070,,,,1.13235,355404,,1.05439,,337070,,1.13235,,5.6
H2,1,509.385,0.145991,20.9571,0.56274,35428.4,2596.65,1.16628e+06,66064.8,395065,1.16445,339273,,,,1.13975,395065,,1.16445,,339273,,1.13975,,8
H3,1,509.195,0.143526,20.9022,0.552726,35540.5,2564.73,1.1669e+06,65073.4,396573,0.804321,493053,,,,1.65636,396573,,0.804321,,493053,,1.65636,,156
H4,1,508.834,0.14947,21.3517,0.579886,25787.3,1914.23,864883,49665,291866,0.648094,450345,,,,1.51288,291866,,0.648094,,450345,,1.51288,,258
H5,1,507.709,0.270759,26.1348,1.13856,158.72,19.2185,6515.85,617.035,2790,0.00684077,,,,,,2790,,0.00684077,,,,,,1050
H6,2,,,,,,,,,,,,,,,,,,,,,,,,0
H7,1,509.32,0.145117,21.3131,0.562681,29467,2126.06,986512,55056.6,333717,1.03546,322289,,,,1.08269,,333717,,1.03546,,322289,,1.08269,5.6
H8,1,509.293,0.143155,21.3842,0.555726,31759.6,2256.17,1.06681e+06,58630.7,361159,1.05731,341582,,,,1.14751,,361159,,1.05731,,341582,,1.14751,9.6
H9,1,509.206,0.143039,21.4488,0.555865,35727.8,2531.63,1.20373e+06,65997.5,407445,1.13085,360299,,,,1.21038,,407445,,1.13085,,360299,,1.21038,66
H10,1,508.925,0.146195,21.863,0.572038,40147.6,2876.25,1.37876e+06,76503.2,466041,1.10323,422432,,,,1.41911,,466041,,1.10323,,422432,,1.41911,366
H11,1,508.763,0.137884,21.4951,0.536204,39728.9,2710.14,1.34143e+06,70810.9,458009,1.06813,428794,,,,1.44048,,458009,,1.06813,,428794,,1.44048,1050
H12,2,,,,,,,,,,,,,,,,,,,,,,,,0
