ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu,cluster,sigma-price,sigma-avail,sigma-url,fisher-price,fisher-avail,fisher-url
POOL-00029039,"InChI=1S/C16H14FNO3/c1-2-21-16(20)11-7-9-12(10-8-11)18-15(19)13-5-3-4-6-14(13)17/h3-10H,2H2,1H3,(H,18,19)",CCOC(=O)c1ccc(NC(=O)c2ccccc2F)cc1,652.8265942666073,False,['314766-38-6'],0.3472823124,1,$68.10/10MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/r814288,,,
POOL-00020897,"InChI=1S/C18H21NO/c1-3-15-6-10-17(11-7-15)19-13-12-18(20)16-8-4-14(2)5-9-16/h4-11,19H,3,12-13H2,1-2H3",CCc1ccc(NCCC(=O)c2ccc(C)cc2)cc1,554.977023115867,False,['477320-42-6'],0.2664387644,1,$28.60/10MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/l233099,,,
POOL-00023410,"InChI=1S/C17H18BrNO/c1-12-3-8-16(11-13(12)2)19-10-9-17(20)14-4-6-15(18)7-5-14/h3-8,11,19H,9-10H2,1-2H3",Cc1ccc(NCCC(=O)c2ccc(Br)cc2)cc1C,604.8871109583482,False,"['423733-46-4', '5926-46-5']",0.3068554646,1,$28.60/10MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/l232300,,,
POOL-00029529,"InChI=1S/C17H18BrNO/c1-2-13-3-9-16(10-4-13)19-12-11-17(20)14-5-7-15(18)8-6-14/h3-10,19H,2,11-12H2,1H3",CCc1ccc(NCCC(=O)c2ccc(Br)cc2)cc1,560.5488048405729,False,['423735-02-8'],0.2699403383,1,$28.60/10MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/l232734,,,
POOL-00022624,"InChI=1S/C16H19NO2S/c1-3-13-9-8-10-14(4-2)16(13)17-20(18,19)15-11-6-5-7-12-15/h5-12,17H,3-4H2,1-2H3",CCc1cccc(CC)c1NS(=O)(=O)c1ccccc1,656.6279897536324,False,['106291-28-5'],0.3011124405,1,$28.60/25MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/s278807,,,
POOL-00032292,"InChI=1S/C15H14BrNO3/c1-19-12-4-5-13(15(8-12)20-2)17-9-10-7-11(16)3-6-14(10)18/h3-9,18H,1-2H3",COc1ccc(N=Cc2cc(Br)ccc2O)c(OC)c1,641.0109069092039,False,"['136286-93-6', '325471-69-0']",0.2876306447,1,$28.60/50MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/r534455,,,
POOL-00029325,"InChI=1S/C16H16FNO2S/c1-11-3-8-15(20-2)14(9-11)18-16(19)10-21-13-6-4-12(17)5-7-13/h3-9H,10H2,1-2H3,(H,18,19)",COc1ccc(C)cc1N=C(O)CSc1ccc(F)cc1,641.2252779339522,False,['764705-07-9'],0.2871511974,1,$28.60/10MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/l130060,"$178.28
Each of 1/100mL",Check Availability,https://www.fishersci.com/shop/products/titanium-iii-chloride-20-w-v-solution-2n-hydrochloric-acid-acroseal-thermo-scientific/AC429151000#7647-07-9
POOL-00020223,"InChI=1S/C15H14BrNO2/c1-10-8-12(6-7-13(10)16)17-9-11-4-3-5-14(19-2)15(11)18/h3-9,18H,1-2H3",COc1cccc(C=Nc2ccc(Br)c(C)c2)c1O,623.5377936809936,False,['196082-27-6'],0.4117660576,1,$28.60/50MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/s922927,,,
POOL-00024539,"InChI=1S/C16H15NO2/c1-11-5-3-4-6-15(11)16(19)17-14-9-7-13(8-10-14)12(2)18/h3-10H,1-2H3,(H,17,19)",CC(=O)c1ccc(NC(=O)c2ccccc2C)cc1,614.900989207503,False,"['5116-70-1', '328023-31-0']",0.2749232377,1,,,,,,
POOL-00027927,"InChI=1S/C17H19NO3/c1-12(2)16-9-4-13(3)10-17(16)21-11-14-5-7-15(8-6-14)18(19)20/h4-10,12H,11H2,1-3H3",Cc1ccc(C(C)C)c(OCc2ccc([N+](=O)[O-])cc2)c1,632.9835221305328,False,['282104-73-8'],0.2741415298,1,$28.60/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/r701017,,,
