ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu
POOL-00005174,"InChI=1S/C9H8F3NO2/c1-2-15-8(14)7-4-3-6(5-13-7)9(10,11)12/h3-5H,2H2,1H3",CCOC(=O)c1ccc(C(F)(F)F)cn1,345.3702438438907,False,['128072-94-6'],0.2174972373
POOL-00031008,"InChI=1S/C10H8F3NO/c1-15-9(7-14,10(11,12)13)8-5-3-2-4-6-8/h2-6H,1H3",COC(C#N)(c1ccccc1)C(F)(F)F,368.49415764522297,False,['80866-87-1'],0.2486251164
POOL-00024990,"InChI=1S/C8H3F4NO/c9-6-2-1-5(8(10,11)12)3-7(6)13-4-14/h1-3H",O=C=Nc1cc(C(F)(F)F)ccc1F,392.8180196606487,False,['69922-27-6'],0.2488471254
POOL-00004448,"InChI=1S/C9H9F2NO2/c1-2-14-9(13)6-3-4-12-7(5-6)8(10)11/h3-5,8H,2H2,1H3",CCOC(=O)c1ccnc(C(F)F)c1,328.3429223461079,False,['1192539-75-5'],0.2141317263
POOL-00040143,"InChI=1S/C8H4F3NO/c9-8(10,11)6-1-3-7(4-2-6)12-5-13/h1-4H",O=C=Nc1ccc(C(F)(F)F)cc1,335.401926258578,False,['1548-13-6'],0.2519062346
POOL-00008761,"InChI=1S/C10H8FNO/c11-9-5-3-8(4-6-9)10(13)2-1-7-12/h3-6H,1-2H2",N#CCCC(=O)c1ccc(F)cc1,336.9375328118677,False,['756489-25-5'],0.2153061447
POOL-00024984,"InChI=1S/C8H5F2NO2/c9-8(10)13-7-3-1-6(2-4-7)11-5-12/h1-4,8H",O=C=Nc1ccc(OC(F)F)cc1,317.42084098634456,False,['58417-15-5'],0.2141562749
POOL-00009384,"InChI=1S/C8H8F3NO2/c1-13-6-3-5(8(9,10)11)4-12-7(6)14-2/h3-4H,1-2H3",COc1cc(C(F)(F)F)cnc1OC,324.8526973504348,False,['124432-61-7'],0.2458382986
POOL-00005119,InChI=1S/C6H3Br2NO/c7-5-2-9-6(8)1-4(5)3-10/h1-3H,O=Cc1cc(Br)ncc1Br,261.92477087439335,False,['959244-28-1'],0.2338933353
POOL-00003514,InChI=1S/C10H6FNO2/c11-8-3-1-2-7(4-8)10-5-9(6-13)14-12-10/h1-6H,O=Cc1cc(-c2cccc(F)c2)no1,464.6504874318322,False,['885273-52-9'],0.2175334211
POOL-00024999,"InChI=1S/C8H4F3NOS/c9-8(10,11)14-7-3-1-6(2-4-7)12-5-13/h1-4H",O=C=Nc1ccc(SC(F)(F)F)cc1,353.84429559736816,False,['24032-84-6'],0.2556743298
POOL-00037333,"InChI=1S/C8H6F3NO2/c1-5-4-6(8(9,10)11)2-3-7(5)12(13)14/h2-4H,1H3",Cc1cc(C(F)(F)F)ccc1[N+](=O)[O-],373.3394080952047,False,['67192-42-1'],0.2177190541
POOL-00003893,InChI=1S/C10H6FNO2/c11-8-3-1-2-7(4-8)10-12-9(5-13)6-14-10/h1-6H,O=Cc1coc(-c2cccc(F)c2)n1,464.6504874318322,False,['885272-95-7'],0.2184001045
POOL-00005118,InChI=1S/C6H3Br2NO/c7-5-1-2-9-6(8)4(5)3-10/h1-3H,O=Cc1c(Br)ccnc1Br,241.67477087439332,False,['128071-91-0'],0.2439831588
POOL-00035716,"InChI=1S/C8H4F3NO2/c9-8(10,11)14-7-3-1-6(2-4-7)12-5-13/h1-4H",O=C=Nc1ccc(OC(F)(F)F)cc1,351.84429559736816,False,['35037-73-1'],0.21467792
POOL-00009652,InChI=1S/C10H6FNO2/c11-8-3-1-7(2-4-8)10-5-9(6-13)14-12-10/h1-6H,O=Cc1cc(-c2ccc(F)cc2)no1,447.4004874318322,False,['251912-65-9'],0.2188217089
POOL-00007864,"InChI=1S/C11H8FNO2/c1-7(14)11-6-10(13-15-11)8-2-4-9(12)5-3-8/h2-6H,1H3",CC(=O)c1cc(-c2ccc(F)cc2)no1,487.54395814897066,False,['889938-97-0'],0.2258545526
POOL-00007863,"InChI=1S/C11H8FNO2/c1-7(14)11-6-10(13-15-11)8-3-2-4-9(12)5-8/h2-6H,1H3",CC(=O)c1cc(-c2cccc(F)c2)no1,504.7939581489706,False,['889938-99-2'],0.2254396553
POOL-00012223,"InChI=1S/C10H9NO2/c1-12-9-4-2-8(3-5-9)10-6-13-7-11-10/h2-7H,1H3",COc1ccc(-c2cocn2)cc1,364.3330861569525,False,['54289-74-6'],0.2597867466
POOL-00005543,InChI=1S/C5H3Br2NO2S/c1-10-4(9)2-3(6)11-5(7)8-2/h1H3,COC(=O)c1nc(Br)sc1Br,286.0098267951167,False,['914347-25-4'],0.2176611849
POOL-00024974,"InChI=1S/C9H3F6NO/c10-8(11,12)5-1-6(9(13,14)15)3-7(2-5)16-4-17/h1-3H",O=C=Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,437.10491468786097,False,['16588-74-2'],0.2498997145
POOL-00036943,"InChI=1S/C7H3BrF3NO2/c8-6-2-1-4(12(13)14)3-5(6)7(9,10)11/h1-3H",O=[N+]([O-])c1ccc(Br)c(C(F)(F)F)c1,377.6879236408014,False,['367-67-9'],0.2164817912
POOL-00009542,"InChI=1S/C7H6F3NO2S/c1-2-13-5(12)4-3-11-6(14-4)7(8,9)10/h3H,2H2,1H3",CCOC(=O)c1cnc(C(F)(F)F)s1,333.92105238960744,False,['131748-96-4'],0.2188024111
,,,,,,
