ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std
POOL-00039607,"InChI=1S/C8H6F8O2/c1-2-4(17)18-3-6(11,12)8(15,16)7(13,14)5(9)10/h2,5H,1,3H2",C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,325.05865002596164,False,['376-84-1'],0.1483555965
POOL-00042506,"InChI=1S/C6H5F7O2/c1-2-15-3(14)4(7,8)5(9,10)6(11,12)13/h2H2,1H3",CCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,244.35518981440748,False,['356-27-4'],0.15200267
POOL-00030527,"InChI=1S/C12H19F3O2/c1-7(2)9-5-4-8(3)6-10(9)17-11(16)12(13,14)15/h7-10H,4-6H2,1-3H3",CC1CCC(C(C)C)C(OC(=O)C(F)(F)F)C1,273.4145314213373,False,['91639-10-0'],0.1508557439
POOL-00039604,"InChI=1S/C9H8F8O2/c1-4(2)5(18)19-3-7(12,13)9(16,17)8(14,15)6(10)11/h6H,1,3H2,2H3",C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,363.231108928595,False,['355-93-1'],0.1480626465
POOL-00038656,"InChI=1S/C10H11F7O2/c1-7(2,3)5(18)4-6(19)8(11,12)9(13,14)10(15,16)17/h4H2,1-3H3",CC(C)(C)C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F,376.3198564000398,False,['17587-22-3'],0.1555275307
POOL-00022549,"InChI=1S/C5H7F6O3P/c1-15(12,13-2-4(6,7)8)14-3-5(9,10)11/h2-3H2,1H3",CP(=O)(OCC(F)(F)F)OCC(F)(F)F,224.1323712878835,False,['757-95-9'],0.1503355706
POOL-00037332,"InChI=1S/C5H10BrF2O3P/c1-3-10-12(9,11-4-2)5(6,7)8/h3-4H2,1-2H3",CCOP(=O)(OCC)C(F)(F)Br,172.02237082322114,False,['65094-22-6'],0.1494459851
POOL-00025609,"InChI=1S/C5H11F2O3P/c1-3-9-11(8,5(6)7)10-4-2/h5H,3-4H2,1-2H3",CCOP(=O)(OCC)C(F)F,140.66295643092155,False,['1478-53-1'],0.1492485478
,,,,,,
POOL-00017187,"InChI=1S/C15H12F3NO2/c16-15(17,18)12-7-4-8-13(9-12)19-14(20)21-10-11-5-2-1-3-6-11/h1-9H,10H2,(H,19,20)",OC(=Nc1cccc(C(F)(F)F)c1)OCc1ccccc1,624.315898391974,False,['18585-04-1'],0.1475738525
