ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_std_top2%mu,cluster,fisher-price,fisher-avail,fisher-url,sigma-price,sigma-avail,sigma-url
POOL-00001363,"InChI=1S/C6H3Br2FO2S/c7-4-1-2-6(5(8)3-4)12(9,10)11/h1-3H",O=S(=O)(F)c1ccc(Br)cc1Br,402.0091542968489,False,['1924207-06-6'],0.2451275314,1,,,,$54.60/1 g,Ships in 30 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/enamine/enah30470abb?context=bbe
POOL-00041274,"InChI=1S/C8H7F7O2/c1-4(2)5(16)17-3-6(9,10)7(11,12)8(13,14)15/h1,3H2,2H3",C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,318.32560884252564,False,"['13695-31-3', '152751-58-1', '31623-04-8']",0.2434568263,1,"$292.00
Each of 1/25g",Check Availability,https://www.fishersci.com/shop/products/2-2-3-3-4-4-4-heptafluorobutyl-methacrylate-97-stab-thermo-scientific/AAL1292214#13695-31-3,$245.00/5 G,"Available to ship on October 06, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/444006
POOL-00026311,"InChI=1S/C8H8F8O2/c9-5(10)7(13,14)8(15,16)6(11,12)3-17-1-4-2-18-4/h4-5H,1-3H2",FC(F)C(F)(F)C(F)(F)C(F)(F)COCC1CO1,288.8215477433608,False,['19932-27-5'],0.2253594837,1,,,,$135.00/5 ML,"Available to ship on October 06, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/474169
POOL-00042506,"InChI=1S/C6H5F7O2/c1-2-15-3(14)4(7,8)5(9,10)6(11,12)13/h2H2,1H3",CCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,244.35518981440748,False,['356-27-4'],0.2473753711,1,$31.05 / Each/5g ,Check Availability,,$36.25/1 g,Ships in 10 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/astatechinc/ateh97f46efc?context=bbe
POOL-00039607,"InChI=1S/C8H6F8O2/c1-2-4(17)18-3-6(11,12)8(15,16)7(13,14)5(9)10/h2,5H,1,3H2",C=CC(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,325.05865002596164,False,['376-84-1'],0.2410493412,1,,,,$17.60/25 g,Ships in 14 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh97f074ad?context=bbe
POOL-00025208,"InChI=1S/C10H5BrF6O/c11-4-8(18)5-1-6(9(12,13)14)3-7(2-5)10(15,16)17/h1-3H,4H2",O=C(CBr)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,430.1662006968518,False,['131805-94-2'],0.2138121092,1,,,,$18.70/250 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh96f10ab2?context=bbe
POOL-00039604,"InChI=1S/C9H8F8O2/c1-4(2)5(18)19-3-7(12,13)9(16,17)8(14,15)6(10)11/h6H,1,3H2,2H3",C=C(C)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)F,363.231108928595,False,['355-93-1'],0.2435495246,1,"$80.10
Each/5g",Check Availability,https://www.fishersci.com/shop/products/2-2-3-3-4-4-5-5-octafluoropentyl-methacrylate-98-stab-thermo-scientific/AAL1204406#355-93-1,$302.00/25 ML,"Only 3 left in stock 
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/470988
POOL-00038656,"InChI=1S/C10H11F7O2/c1-7(2,3)5(18)4-6(19)8(11,12)9(13,14)10(15,16)17/h4H2,1-3H3",CC(C)(C)C(=O)CC(=O)C(F)(F)C(F)(F)C(F)(F)F,376.3198564000398,False,['17587-22-3'],0.2433546039,1,"$90.90
Each of 1/5g",Check Availability,,$79.00/5 G,"Estimated to ship on November 21, 2022",https://www.sigmaaldrich.com/US/en/product/aldrich/175161
POOL-00037332,"InChI=1S/C5H10BrF2O3P/c1-3-10-12(9,11-4-2)5(6,7)8/h3-4H2,1-2H3",CCOP(=O)(OCC)C(F)(F)Br,172.02237082322114,False,['65094-22-6'],0.2519339701,1,"$132.90
Each/25g",Check Availability,,$97.80/5 G,"Estimated to ship on December 30, 2022",https://www.sigmaaldrich.com/US/en/product/aldrich/411361
POOL-00025609,"InChI=1S/C5H11F2O3P/c1-3-9-11(8,5(6)7)10-4-2/h5H,3-4H2,1-2H3",CCOP(=O)(OCC)C(F)F,140.66295643092155,False,['1478-53-1'],0.2525912251,1,$339.53 / Each/nan,,,$62.90/5 G,"Available to ship on October 06, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/751596
