ligand_label,ligand_identifier,ligand_smiles,complexity_BertzCT,is_taught,cas_number,rank_average_pred_mu_top2%mu,cluster,fisher-price,fisher-avail,fisher-url,sigma-price,sigma-avail,sigma-url
POOL-00036901,"InChI=1S/C14H18O3/c1-5-16-13-9-11-10(8-12(13)15-4)6-7-14(2,3)17-11/h6-9H,5H2,1-4H3",CCOc1cc2c(cc1OC)C=CC(C)(C)O2,447.0256987582824,False,['65383-73-5'],1.0592983316,6,,,,$172.00/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/r750328
POOL-00036049,"InChI=1S/C12H7F3O2S/c13-12(14,15)11(17)5-9(16)8-6-18-10-4-2-1-3-7(8)10/h1-4,6H,5H2",O=C(CC(=O)C(F)(F)F)c1csc2ccccc12,613.0552028264747,False,['392-29-0'],1.0541157485,6,,,,$134.00/1 MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/ph004746
POOL-00007839,"InChI=1S/C10H7F3O/c11-10(12,13)7-3-1-6-2-4-9(14)8(6)5-7/h1,3,5H,2,4H2",O=C1CCc2ccc(C(F)(F)F)cc21,392.84385120961167,False,['68755-37-3'],1.0418358899,6,,,,$16.50/100 mg,Ships in 7 days - from Aldrich Partner.,https://www.sigmaaldrich.com/US/en/product/ambeedinc/ambh2d6f0d20?context=bbe
POOL-00042541,"InChI=1S/C12H14O4/c1-4-5-8-6-9-11(16-7-15-9)12(14-3)10(8)13-2/h4,6H,1,5,7H2,2-3H3",C=CCc1cc2c(c(OC)c1OC)OCO2,411.9700542795412,False,"['484-31-1', '8025-95-4']",1.0619568111,6,"$155.00
Each of 1/nan",Check Availability,,$140.00/10 MG,"Estimated to ship on November 07, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/sial/94811
POOL-00024901,"InChI=1S/C12H14O3/c1-7-4-8(13)5-10-11(7)9(14)6-12(2,3)15-10/h4-5,13H,6H2,1-3H3",Cc1cc(O)cc2c1C(=O)CC(C)(C)O2,432.7385266901461,False,['20052-60-2'],1.0628334708,6,,,,$81.60/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/ph003408
POOL-00012112,"InChI=1S/C11H7F3/c12-11(13,14)10-7-3-5-8-4-1-2-6-9(8)10/h1-7H",FC(F)(F)c1cccc2ccccc12,452.03445179883175,False,['26458-04-8'],1.0386182141,6,,,,$75.00/1 G,"Estimated to ship on December 05, 2022",https://www.sigmaaldrich.com/US/en/product/aldrich/737186
POOL-00004470,"InChI=1S/C12H9F3O2S/c1-6-8-5-7(12(13,14)15)3-4-9(8)18-10(6)11(16)17-2/h3-5H,1-2H3",COC(=O)c1sc2ccc(C(F)(F)F)cc2c1C,613.5454278221475,False,['863118-39-2'],1.0450413134,6,,,,$134.00/5 MG,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/ph000581
POOL-00039149,"InChI=1S/C15H26O2/c1-10(2)8-13(16)17-12-9-11-6-7-15(12,5)14(11,3)4/h10-12H,6-9H2,1-5H3",CC(C)CC(=O)OC1CC2CCC1(C)C2(C)C,318.883509367128,False,"['76-50-6', '7779-73-9', '276885-74-6']",1.0600831649,6,,,,,,
POOL-00023856,"InChI=1S/C11H6BrF3/c12-10-8-4-2-1-3-7(8)5-6-9(10)11(13,14)15/h1-6H",FC(F)(F)c1ccc2ccccc2c1Br,502.64946036613145,False,['117539-58-9'],1.0593385627,6,,,,$28.60/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/r269395
POOL-00039202,"InChI=1S/C14H12O4/c1-17-13(15)11-5-3-10-8-12(14(16)18-2)6-4-9(10)7-11/h3-8H,1-2H3",COC(=O)c1ccc2cc(C(=O)OC)ccc2c1,560.9701430031515,False,['840-65-3'],1.0581518608,6,"$99.10
Each/25g",Check Availability,,$178.00/25 G,"Estimated to ship on November 07, 2022
Details...",https://www.sigmaaldrich.com/US/en/product/aldrich/d171301
POOL-00043460,"InChI=1S/C8H9O3PS/c1-9-12(13)10-6-7-4-2-3-5-8(7)11-12/h2-5H,6H2,1H3",COP1(=S)OCc2ccccc2O1,366.1617012629048,False,"['3811-49-2', '90293-10-0', '90293-16-6']",1.0564745482,6,"$118.00
Each of 1/nan",Check Availability,,$107.00/10 MG,"Estimated to ship on December 13, 2022",https://www.sigmaaldrich.com/US/en/product/sial/35352
POOL-00029077,"InChI=1S/C14H12O4/c1-17-13(15)11-7-3-6-10-9(11)5-4-8-12(10)14(16)18-2/h3-8H,1-2H3",COC(=O)c1cccc2c(C(=O)OC)cccc12,560.9701430031515,False,['19458-95-8'],1.0627604921,6,,,,$28.60/nan,Usually ships in 2 business days. ,https://www.sigmaaldrich.com/US/en/product/aldrich/t192899
